ct_state_ttl,ct_dst_sport_ltm,sttl,xProt,dpkts,dload,dbytes,xServ,dmean,ackdat,spkts,xState,tcprtt,sload,dloss,synack,rate,sbytes,sloss,djit,sjit,swin,dtcpb,smean,trans_depth,response_body_len,ct_dst_ltm,dwin,sinpkt,dinpkt,ct_srv_src,ct_dst_src_ltm,ct_src_dport_ltm,stcpb,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_srv_dst,dur,ct_src_ltm,dttl,is_sm_ips_ports
0,0,0.988235,0.002006,0.000364,0.000379,0.000012,1,0.029492,0,0.00052,0.001002,0,0.000002,0,0,0.000074,0.000018,0,0.000041,0.000021,1,0.512828,0.010163,0,0,0,1,0.000288,0.000148,0,0,0,0.144768,0,0,0,0,0.002025,0,1,0
0,0,0.121569,0.002006,0.00164,0.000101,0.000694,0,0.387517,0.000092,0.001352,0.001002,0.000276,0,0.000912,0.000264,0.000001,0.000128,0.000625,0.681345,0.154285,1,0.73481,0.062331,0.005814,0.000598,0.16,1,0.030805,0.035042,0.032258,0.015625,0.02,0.235026,0,0,0.033333,0.065574,0.563128,0.050847,0.114173,0
0,0,0.121569,0.002006,0.00164,0.000359,0.000694,0,0.387517,0.000095,0.001144,0.001002,0.000298,0,0.000912,0.000289,0.000003,0.00012,0.000625,0.137205,0.037874,1,0.185831,0.070461,0.005814,0.000598,0.16,1,0.010283,0.009898,0.016129,0.015625,0.02,0.185575,0,0,0.033333,0.065574,0.159067,0.033898,0.114173,0
0,0,0.121569,0,0.000182,0.025686,0.000011,0.005015,0.056241,0,0.000104,0.004008,0,0.000077,0,0,0.002634,0.000008,0,0,0,0,0,0.025745,0,0,0,0,0,0,0.064516,0,0.02,0,0,0,0,0.180328,0.000019,0.016949,0.114173,0
0,0,0.121569,0.002006,0.006014,0.001719,0.003535,1,0.538409,0.000579,0.006552,0.001002,0.01271,0,0.004741,0.014824,0.000012,0.000291,0.001457,0.035212,0.007204,1,0.329612,0.021003,0,0,0.12,1,0.002058,0.002864,0.080645,0,0,0.825761,0,0,0,0.032787,0.176521,0.050847,0.114173,0
0,0,0.121569,0.002006,0.000911,0.000025,0.000056,0,0.056241,0.000093,0.000728,0.001002,0.000262,0,0.000365,0.000246,0.000002,0.000079,0.000416,0.01171,0.088207,1,0.746458,0.070461,0.005814,0.000013,0.16,1,0.018259,0.021126,0.064516,0,0.08,0.246681,0,0,0.033333,0.081967,0.179741,0.067797,0.114173,0
0,0,0.121569,0,0.000182,0.001491,0.000011,0.005015,0.055556,0,0.000104,0.004008,0,0.000004,0,0,0.000155,0.000008,0,0,0,0,0,0.025068,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0.000323,0,0.114173,0
0,0,0.121569,0.002006,0.003827,0.002894,0.00158,1,0.377915,0.000101,0.004056,0.001002,0.000284,0.000001,0.002553,0.000267,0.000029,0.000195,0.001457,0.017604,0.003623,1,0.028893,0.02439,0,0,0.26,1,0.000869,0.001199,0.258065,0.09375,0,0.408491,0,0,0,0.196721,0.046459,0.305085,0.114173,0
0,0,0.121569,0,0.000364,0.000178,0.000021,1,0.052126,0,0.000312,0.004008,0,0.000001,0,0,0.000015,0.000039,0,0.000536,0.000103,0,0,0.070461,0,0,0.02,0,0.001264,0.001934,0.258065,0.03125,0,0,0,0,0,0.147541,0.007619,0.084746,0.114173,0
0,0,0.121569,0.002006,0.00164,0.000091,0.000694,0,0.387517,0.000105,0.001352,0.001002,0.00029,0,0.000912,0.000272,0.000001,0.000128,0.000625,0.992748,0.218219,1,0.36105,0.062331,0.005814,0.000598,0.08,1,0.034432,0.041617,0.016129,0,0.02,0.360755,0,0,0.033333,0.016393,0.629451,0.186441,0.114173,0
